"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"6";0;2;1.33333333333333
2017-09-29;"6";2;4;4.33314819957419
2017-09-29;"6";4;6;6.33324076645376
2017-09-29;"6";6;8;129.707059477487
2017-09-29;"6";8;10;115.686863072077
2017-09-29;"6";10;12;66.3318526744401
2017-09-29;"6";12;14;153.332593003887
2017-09-29;"6";14;16;225.36186770428
2017-09-29;"6";16;18;233.014267185473
2017-09-29;"6";18;20;315.642784411737
2017-09-29;"6";20;22;314.988058872535
2017-09-29;"6";22;24;330.36186770428
2017-09-29;"6";0;2;35.3476005188067
2017-09-30;"6";2;4;1.99976855066426
2017-09-30;"6";4;6;2.66662037679952
2017-09-30;"6";6;8;3.00074115249213
2017-09-30;"6";8;10;79.6670372429127
2017-09-30;"6";10;12;85.6651860077735
2017-09-30;"6";12;14;112.332593003887
2017-09-30;"6";14;16;181.385214007782
2017-09-30;"6";16;18;255.692607003891
2017-09-30;"6";18;20;398.666666666667
2017-09-30;"6";20;22;423.333333333333
2017-09-30;"6";22;24;365.697053918844
2017-09-30;"6";0;2;56.6818602927552
2017-10-01;"6";2;4;3.33314819957419
2017-10-01;"6";4;6;4.6665740997871
2017-10-01;"6";6;8;3.00074115249213
2017-10-01;"6";8;10;115.667037242913
2017-10-01;"6";10;12;164.651485698417
2017-10-01;"6";12;14;151.659076182542
2017-10-01;"6";14;16;244.076338706689
2017-10-01;"6";16;18;324.038169353344
2017-10-01;"6";18;20;283.284101425134
2017-10-01;"6";20;22;297.9753840459
2017-10-01;"6";22;24;38.0014823049843
2017-10-01;"6";0;2;5.00074115249213
2017-10-02;"6";2;4;2.99981486624086
2017-10-02;"6";4;6;2.6665740997871
2017-10-02;"6";6;8;5.00092618319904
2017-10-02;"6";8;10;64.6671297582662
2017-10-02;"6";10;12;119.333333333333
2017-10-02;"6";12;14;157.333333333333
2017-10-02;"6";14;16;213.025192183014
2017-10-02;"6";16;18;355.012596091507
2017-10-02;"6";18;20;295
2017-10-02;"6";20;22;344.333333333333
2017-10-02;"6";22;24;217.00834028357
2017-10-02;"6";0;2;11.6708368084515
2017-10-03;"6";2;4;3.33222283916343
2017-10-03;"6";4;6;3.33277808624838
2017-10-03;"6";6;8;3.66777839540485
2017-10-03;"6";8;10;10.6672225310358
2017-10-03;"6";10;12;36.9948162547441
2017-10-03;"6";12;14;325.330741460705
2017-10-03;"6";14;16;131.345191773207
2017-10-03;"6";16;18;186.33926255327
2017-10-03;"6";18;20;189.619285582084
2017-10-03;"6";20;22;343.309642791042
