"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"7";0;2;16.9990556080218
2017-09-29;"7";2;4;67.9962224320871
2017-09-29;"7";4;6;67.9962224320871
2017-09-29;"7";6;8;551.999055608022
2017-09-29;"7";8;10;896.011167287072
2017-09-29;"7";10;12;804.044669148286
2017-09-29;"7";12;14;804.044669148286
2017-09-29;"7";14;16;856.011167287072
2017-09-29;"7";16;18;1199.20586607637
2017-09-29;"7";18;20;674.20586607637
2017-09-29;"7";20;22;840.803571428571
2017-09-29;"7";22;24;550.803571428571
2017-09-29;"7";0;2;55.0006944765961
2017-09-30;"7";2;4;20.0009259687948
2017-09-30;"7";4;6;20.0009259687948
2017-09-30;"7";6;8;35.0002314921987
2017-09-30;"7";8;10;689.29203539823
2017-09-30;"7";10;12;1339.29203539823
2017-09-30;"7";12;14;1015.81589958159
2017-09-30;"7";14;16;775.81589958159
2017-09-30;"7";16;18;569.341996129389
2017-09-30;"7";18;20;599.341996129389
2017-09-30;"7";20;22;487.588751218154
2017-09-30;"7";22;24;114.432868882387
2017-09-30;"7";0;2;6.66646091170026
2017-10-01;"7";2;4;6.66646091170026
2017-10-01;"7";4;6;6.66646091170026
2017-10-01;"7";6;8;6.66646091170026
2017-10-01;"7";8;10;525.525536389751
2017-10-01;"7";10;12;1283.85892116183
2017-10-01;"7";12;14;1016.20987998884
2017-10-01;"7";14;16;1001.20987998884
2017-10-01;"7";16;18;684.225235196458
2017-10-01;"7";18;20;699.225235196458
2017-10-01;"7";20;22;1101.28834355828
2017-10-01;"7";22;24;781.288343558282
2017-10-01;"7";0;2;180.999944447531
2017-10-02;"7";2;4;3.99977779012277
2017-10-02;"7";4;6;3.99977779012277
2017-10-02;"7";6;8;500.999944447531
2017-10-02;"7";8;10;1322.76748686757
2017-10-02;"7";10;12;1937.76748686757
2017-10-02;"7";12;14;936.105527638191
2017-10-02;"7";14;16;1061.10552763819
2017-10-02;"7";16;18;363.629804356875
2017-10-02;"7";18;20;164.8397391425
2017-10-02;"7";20;22;402.490984185569
2017-10-02;"7";22;24;921.281049399944
2017-10-02;"7";0;2;736.000333351853
2017-10-03;"7";2;4;24.0013334074115
2017-10-03;"7";4;6;24.0013334074115
2017-10-03;"7";6;8;311.000333351853
2017-10-03;"7";8;10;1238.60619469027
2017-10-03;"7";10;12;878.606194690266
2017-10-03;"7";12;14;1111.22767857143
2017-10-03;"7";14;16;811.227678571429
2017-10-03;"7";16;18;619.996528259964
2017-10-03;"7";18;20;99.9861130398556
2017-10-03;"7";20;22;99.9861130398556
2017-10-03;"7";22;24;105.546083437258
2017-10-03;"7";0;2;122.225994629464
2017-10-04;"7";2;4;122.225994629464
2017-10-04;"7";4;6;122.225994629464
2017-10-04;"7";6;8;122.225994629464
2017-10-04;"7";8;10;814.84221294308
2017-10-04;"7";10;12;954.285714285714
2017-10-04;"7";12;14;1315.64732142857
2017-10-04;"7";14;16;794.625744047619
2017-10-04;"7";16;18;805.378284923928
2017-10-04;"7";18;20;424.398340248963
2017-10-04;"7";20;22;600.543629774185
2017-10-04;"7";22;24;680.543629774185
2017-10-04;"7";0;2;354
2017-10-05;"7";2;4;16
2017-10-05;"7";4;6;16
2017-10-05;"7";6;8;564
2017-10-05;"7";8;10;1353.73443983402
2017-10-05;"7";10;12;755.429229376024
2017-10-05;"7";12;14;86.7791581679955
2017-10-05;"7";14;16;646.694789541999
2017-10-05;"7";16;18;694.634450290778
2017-10-05;"7";18;20;584.634450290778
2017-10-05;"7";20;22;1016.0460251046
2017-10-05;"7";22;24;747.011157601116
2017-10-05;"7";0;2;143.361111111111
2017-10-06;"7";2;4;23.3333333333333
2017-10-06;"7";4;6;23.3333333333333
2017-10-06;"7";6;8;715.138888888889
2017-10-06;"7";8;10;1085.77946873271
2017-10-06;"7";10;12;934.302711676812
2017-10-06;"7";12;14;760.489266796766
2017-10-06;"7";14;16;763.139624570207
2017-10-06;"7";16;18;851.97947227604
2017-10-06;"7";18;20;794.496263492942
2017-10-06;"7";20;22;1221.48535564854
2017-10-06;"7";22;24;532.68684847903
2017-10-06;"7";0;2;70.0038891049503
2017-10-07;"7";2;4;70.0038891049503
2017-10-07;"7";4;6;70.0038891049503
2017-10-07;"7";6;8;70.0038891049503
2017-10-07;"7";8;10;273.042028277214
2017-10-07;"7";10;12;1393.98949405585
2017-10-07;"7";12;14;1106.28659046557
2017-10-07;"7";14;16;1075.24370411672
2017-10-07;"7";16;18;518.734772978959
2017-10-07;"7";18;20;713.936877076412
2017-10-07;"7";20;22;765.794979079498
2017-10-07;"7";22;24;588.768479776848
2017-10-07;"7";0;2;361.703201402343
2017-10-08;"7";2;4;254.874065873236
2017-10-08;"7";4;6;130.018088214832
2017-10-08;"7";6;8;86.5536617040026
2017-10-08;"7";8;10;803.930786267996
2017-10-08;"7";10;12;1238.80398671096
2017-10-08;"7";12;14;846.032896570951
2017-10-08;"7";14;16;948.998466685252
2017-10-08;"7";16;18;823.952684006641
2017-10-08;"7";18;20;849.147758716104
2017-10-08;"7";20;22;1496.01336302895
2017-10-08;"7";22;24;1226.01336302895
2017-10-08;"7";0;2;502.000889284126
2017-10-09;"7";2;4;8.00355713650511
2017-10-09;"7";4;6;8.00355713650511
2017-10-09;"7";6;8;659.100859641322
2017-10-09;"7";8;10;1020.67565698479
2017-10-09;"7";10;12;993.879668049792
2017-10-09;"7";12;14;936.25
2017-10-09;"7";14;16;1020.875
2017-10-09;"7";16;18;749.274813381255
2017-10-09;"7";18;20;514.459496820569
2017-10-09;"7";20;22;1116.48535564854
2017-10-09;"7";22;24;1048.43584379358
2017-10-09;"7";0;2;832.582859651555
2017-10-10;"7";2;4;136.42567401194
2017-10-10;"7";4;6;6.6759388038943
2017-10-10;"7";6;8;425.113351877608
2017-10-10;"7";8;10;901.964601769911
2017-10-10;"7";10;12;1074.1592920354
2017-10-10;"7";12;14;710.736607142857
2017-10-10;"7";14;16;903.378720238095
2017-10-10;"7";16;18;683.739808153477
2017-10-10;"7";18;20;524.748201438849
2017-10-10;"7";20;22;690.9375
2017-10-10;"7";22;24;907.072916666667
2017-10-10;"7";0;2;688.900114821194
2017-10-11;"7";2;4;8.00044446913717
2017-10-11;"7";4;6;8.00044446913717
2017-10-11;"7";6;8;533.266774080042
2017-10-11;"7";8;10;1335.34716459198
2017-10-11;"7";10;12;659.045643153527
2017-10-11;"7";12;14;631.054099274958
2017-10-11;"7";14;16;1029.01896263246
2017-10-11;"7";16;18;687.106253458771
2017-10-11;"7";18;20;499.457664637521
2017-10-11;"7";20;22;863.946562760924
2017-10-11;"7";22;24;703.849562818746
2017-10-11;"7";0;2;16.0004444567905
