"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"4";0;2;123.333333333333
2017-09-29;"4";2;4;381.444459872258
2017-09-29;"4";4;6;290
2017-09-29;"4";6;8;2447.73455419904
2017-09-29;"4";8;10;2232.33333333333
2017-09-29;"4";10;12;536.359649122807
2017-09-29;"4";12;14;479.166666666667
2017-09-29;"4";14;16;403.578061413245
2017-09-29;"4";16;18;393.166666666667
2017-09-29;"4";18;20;271.514140009272
2017-09-29;"4";20;22;166.166666666667
2017-09-29;"4";22;24;260.677950425453
2017-09-29;"4";0;2;200.666666666667
2017-09-30;"4";2;4;129.98056095529
2017-09-30;"4";4;6;39.1666666666667
2017-09-30;"4";6;8;52.2834165280089
2017-09-30;"4";8;10;163.166666666667
2017-09-30;"4";10;12;99.2670011148272
2017-09-30;"4";12;14;97.6666666666667
2017-09-30;"4";14;16;128.322616407982
2017-09-30;"4";16;18;201.666666666667
2017-09-30;"4";18;20;223.194823267465
2017-09-30;"4";20;22;163.833333333333
2017-09-30;"4";22;24;225.986361534905
2017-09-30;"4";0;2;165.333333333333
2017-10-01;"4";2;4;101.516671297583
2017-10-01;"4";4;6;47.6666666666667
2017-10-01;"4";6;8;70.7585203657523
2017-10-01;"4";8;10;220.833333333333
2017-10-01;"4";10;12;113.133779264214
2017-10-01;"4";12;14;187
2017-10-01;"4";14;16;259.750415973378
2017-10-01;"4";16;18;213.833333333333
2017-10-01;"4";18;20;141.583449235049
2017-10-01;"4";20;22;209.333333333333
2017-10-01;"4";22;24;466.014331946371
2017-10-01;"4";0;2;496
2017-10-02;"4";2;4;205.480565589207
2017-10-02;"4";4;6;33.3333333333333
2017-10-02;"4";6;8;47.2083525967021
2017-10-02;"4";8;10;364.166666666667
2017-10-02;"4";10;12;656.503344481605
2017-10-02;"4";12;14;781.5
2017-10-02;"4";14;16;1580.9508825432
2017-10-02;"4";16;18;2057.33333333333
2017-10-02;"4";18;20;1010.85029190992
2017-10-02;"4";20;22;2160.66666666667
2017-10-02;"4";22;24;1854.4392004442
2017-10-02;"4";0;2;429.5
2017-10-03;"4";2;4;216.138896602796
2017-10-03;"4";4;6;145.333333333333
2017-10-03;"4";6;8;1562.90127565169
2017-10-03;"4";8;10;2324
2017-10-03;"4";10;12;1514.20791527313
2017-10-03;"4";12;14;1061
2017-10-03;"4";14;16;1519.74540245818
2017-10-03;"4";16;18;1377.16666666667
2017-10-03;"4";18;20;790.976430976431
2017-10-03;"4";20;22;2265.66666666667
2017-10-03;"4";22;24;1548.74917491749
2017-10-03;"4";0;2;422.666666666667
2017-10-04;"4";2;4;189.548579970105
2017-10-04;"4";4;6;61
2017-10-04;"4";6;8;1562.60461919164
2017-10-04;"4";8;10;2233.5
2017-10-04;"4";10;12;1180.98578308789
