"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"8";0;2;90
2017-09-29;"8";2;4;124
2017-09-29;"8";4;6;129
2017-09-29;"8";6;8;689.088938299055
2017-09-29;"8";8;10;1731
2017-09-29;"8";10;12;263.387957007628
2017-09-29;"8";12;14;164.618902113293
2017-09-29;"8";14;16;164.618902113293
2017-09-29;"8";16;18;164.618902113293
2017-09-29;"8";18;20;164.618902113293
2017-09-29;"8";20;22;164.618902113293
2017-09-29;"8";22;24;261.540396162311
2017-09-29;"8";0;2;386
2017-09-30;"8";2;4;185.969452929742
2017-09-30;"8";4;6;120
2017-09-30;"8";6;8;55.0619648343029
2017-09-30;"8";8;10;50.5915419308452
2017-09-30;"8";10;12;50.5915419308452
2017-09-30;"8";12;14;50.5915419308452
2017-09-30;"8";14;16;50.5915419308452
2017-09-30;"8";16;18;50.5915419308452
2017-09-30;"8";18;20;50.5915419308452
2017-09-30;"8";20;22;50.5915419308452
2017-09-30;"8";22;24;51.8253480619648
2017-09-30;"8";0;2;53.3333333333333
2017-10-01;"8";2;4;154.64445061557
2017-10-01;"8";4;6;160
2017-10-01;"8";6;8;281.100083402836
2017-10-01;"8";8;10;320.537958590628
2017-10-01;"8";10;12;52.3065746458409
2017-10-01;"8";12;14;52.3065746458409
2017-10-01;"8";14;16;52.3065746458409
2017-10-01;"8";16;18;52.3065746458409
2017-10-01;"8";18;20;52.3065746458409
2017-10-01;"8";20;22;52.3065746458409
2017-10-01;"8";22;24;7.36565861631177
2017-10-01;"8";0;2;5.00034724633655
2017-10-02;"8";2;4;5.00034724633655
2017-10-02;"8";4;6;5.00034724633655
2017-10-02;"8";6;8;673.692670688239
2017-10-02;"8";8;10;163.81908617086
2017-10-02;"8";10;12;125.724263830463
2017-10-02;"8";12;14;125.724263830463
2017-10-02;"8";14;16;74.2117540192784
2017-10-02;"8";16;18;13.3333333333333
2017-10-02;"8";18;20;288.741518825949
2017-10-02;"8";20;22;40.0055563272677
2017-10-02;"8";22;24;24.7252318994922
2017-10-02;"8";0;2;6.66666666666667
2017-10-03;"8";2;4;155.277777777778
2017-10-03;"8";4;6;147.5
2017-10-03;"8";6;8;536.772280896795
2017-10-03;"8";8;10;57.6674120577423
2017-10-03;"8";10;12;28.0007777993833
2017-10-03;"8";12;14;28.0007777993833
2017-10-03;"8";14;16;28.0007777993833
2017-10-03;"8";16;18;28.0007777993833
2017-10-03;"8";18;20;58.6698936968977
2017-10-03;"8";20;22;60.0033335185288
2017-10-03;"8";22;24;33.0110884930382
2017-10-03;"8";0;2;1.11116255382194
2017-10-04;"8";2;4;1.11116255382194
2017-10-04;"8";4;6;1.11116255382194
2017-10-04;"8";6;8;1.11116255382194
2017-10-04;"8";8;10;1.11116255382194
2017-10-04;"8";10;12;1.11116255382194
2017-10-04;"8";12;14;1.11116255382194
2017-10-04;"8";14;16;1.11116255382194
2017-10-04;"8";16;18;202.21254342118
2017-10-04;"8";18;20;253.544925792218
2017-10-04;"8";20;22;33.3333333333333
2017-10-04;"8";22;24;61.1486731849915
2017-10-04;"8";0;2;62.3580357872375
2017-10-05;"8";2;4;62.3580357872375
2017-10-05;"8";4;6;62.3580357872375
2017-10-05;"8";6;8;62.3580357872375
2017-10-05;"8";8;10;62.3580357872375
2017-10-05;"8";10;12;62.3580357872375
2017-10-05;"8";12;14;62.3580357872375
2017-10-05;"8";14;16;37.7055290466852
2017-10-05;"8";16;18;8.57074835330529
2017-10-05;"8";18;20;8.57074835330529
2017-10-05;"8";20;22;8.57074835330529
2017-10-05;"8";22;24;83.929352663931
2017-10-05;"8";0;2;87.2058137209147
2017-10-06;"8";2;4;87.2058137209147
2017-10-06;"8";4;6;87.2058137209147
2017-10-06;"8";6;8;87.2058137209147
2017-10-06;"8";8;10;87.2058137209147
2017-10-06;"8";10;12;87.2058137209147
2017-10-06;"8";12;14;87.2058137209147
2017-10-06;"8";14;16;87.2058137209147
2017-10-06;"8";16;18;87.2058137209147
2017-10-06;"8";18;20;87.2058137209147
2017-10-06;"8";20;22;87.2058137209147
2017-10-06;"8";22;24;88.4864824321621
2017-10-06;"8";0;2;222.916666666667
2017-10-07;"8";2;4;256.627788577247
2017-10-07;"8";4;6;191.666666666667
2017-10-07;"8";6;8;107.168512379859
2017-10-07;"8";8;10;104.001925961592
2017-10-07;"8";10;12;104.001925961592
2017-10-07;"8";12;14;104.001925961592
2017-10-07;"8";14;16;104.001925961592
2017-10-07;"8";16;18;104.001925961592
2017-10-07;"8";18;20;104.001925961592
2017-10-07;"8";20;22;65.5048642657386
2017-10-07;"8";22;24;32.2267379926821
2017-10-07;"8";0;2;46.6666666666667
2017-10-08;"8";2;4;156.061138873465
2017-10-08;"8";4;6;110.833333333333
2017-10-08;"8";6;8;167.544469149528
2017-10-08;"8";8;10;265.521390374332
2017-10-08;"8";10;12;17.5012153621779
2017-10-08;"8";12;14;17.5012153621779
2017-10-08;"8";14;16;17.5012153621779
2017-10-08;"8";16;18;146.979824987846
2017-10-08;"8";18;20;280.863151461274
2017-10-08;"8";20;22;280.031114568285
2017-10-08;"8";22;24;160.849338370971
2017-10-08;"8";0;2;19.9981483196
2017-10-09;"8";2;4;19.9981483196
2017-10-09;"8";4;6;84.1656636731167
2017-10-09;"8";6;8;155.078241908351
2017-10-09;"8";8;10;18.1827365018435
2017-10-09;"8";10;12;18.1827365018435
2017-10-09;"8";12;14;18.1827365018435
2017-10-09;"8";14;16;18.1827365018435
2017-10-09;"8";16;18;18.1827365018435
2017-10-09;"8";18;20;100.43535599224
2017-10-09;"8";20;22;104.011556839649
2017-10-09;"8";22;24;340.50625995481
2017-10-09;"8";0;2;375.833333333333
2017-10-10;"8";2;4;164.116694429021
2017-10-10;"8";4;6;149.166666666667
2017-10-10;"8";6;8;102.504095616622
2017-10-10;"8";8;10;100.00427368691
2017-10-10;"8";10;12;100.00427368691
2017-10-10;"8";12;14;100.00427368691
2017-10-10;"8";14;16;100.00427368691
2017-10-10;"8";16;18;100.00427368691
2017-10-10;"8";18;20;549.168981580409
2017-10-10;"8";20;22;1003.33333333333
2017-10-10;"8";22;24;919.455716138595
2017-10-10;"8";0;2;321.666666666667
2017-10-11;"8";2;4;145.811117282236
2017-10-11;"8";4;6;148.333333333333
2017-10-11;"8";6;8;531.372385615241
2017-10-11;"8";8;10;547.519011076773
2017-10-11;"8";10;12;547.519011076773
2017-10-11;"8";12;14;547.519011076773
2017-10-11;"8";14;16;547.519011076773
2017-10-11;"8";16;18;547.519011076773
2017-10-11;"8";18;20;547.519011076773
2017-10-11;"8";20;22;547.519011076773
2017-10-11;"8";22;24;547.519011076773
2017-10-11;"8";0;2;547.519011076773
2017-10-12;"8";2;4;547.519011076773
2017-10-12;"8";4;6;547.519011076773
2017-10-12;"8";6;8;547.519011076773
2017-10-12;"8";8;10;547.519011076773
2017-10-12;"8";10;12;547.519011076773
2017-10-12;"8";12;14;547.519011076773
2017-10-12;"8";14;16;110.984857215148
2017-10-12;"8";16;18;92.0051113950775
2017-10-12;"8";18;20;260.669435339
2017-10-12;"8";20;22;905.833333333333
2017-10-12;"8";22;24;563.500092644062
2017-10-12;"8";0;2;320.833333333333
2017-10-13;"8";2;4;114.966685174903
2017-10-13;"8";4;6;138.333333333333
2017-10-13;"8";6;8;255.028502715452
2017-10-13;"8";8;10;260.02974196395
2017-10-13;"8";10;12;260.02974196395
2017-10-13;"8";12;14;260.02974196395
2017-10-13;"8";14;16;260.02974196395
2017-10-13;"8";16;18;260.02974196395
2017-10-13;"8";18;20;260.02974196395
2017-10-13;"8";20;22;260.02974196395
2017-10-13;"8";22;24;186.68277689714
2017-10-13;"8";0;2;182.5
2017-10-14;"8";2;4;194.111141958171
2017-10-14;"8";4;6;170
2017-10-14;"8";6;8;218.338911082304
2017-10-14;"8";8;10;220.005820259795
2017-10-14;"8";10;12;220.005820259795
2017-10-14;"8";12;14;220.005820259795
2017-10-14;"8";14;16;220.005820259795
2017-10-14;"8";16;18;220.005820259795
2017-10-14;"8";18;20;220.005820259795
2017-10-14;"8";20;22;220.005820259795
2017-10-14;"8";22;24;220.005820259795
2017-10-14;"8";0;2;220.005820259795
2017-10-15;"8";2;4;174.169819307389
2017-10-15;"8";4;6;139.166666666667
2017-10-15;"8";6;8;178.40839588546
2017-10-15;"8";8;10;502.5
2017-10-15;"8";10;12;213.25
2017-10-15;"8";12;14;186
2017-10-15;"8";14;16;186
2017-10-15;"8";16;18;186
2017-10-15;"8";18;20;186
2017-10-15;"8";20;22;186
2017-10-15;"8";22;24;186
2017-10-15;"8";0;2;186
2017-10-16;"8";2;4;186
2017-10-16;"8";4;6;186
2017-10-16;"8";6;8;1372.56831314591
2017-10-16;"8";8;10;1424.15823980442
2017-10-16;"8";10;12;867.257220205863
2017-10-16;"8";12;14;209.101469771201
2017-10-16;"8";14;16;209.101469771201
2017-10-16;"8";16;18;209.101469771201
2017-10-16;"8";18;20;209.101469771201
2017-10-16;"8";20;22;209.101469771201
2017-10-16;"8";22;24;881.402398977611
2017-10-16;"8";0;2;910.632874160498
2017-10-17;"8";2;4;910.632874160498
2017-10-17;"8";4;6;910.632874160498
2017-10-17;"8";6;8;910.632874160498
2017-10-17;"8";8;10;910.632874160498
2017-10-17;"8";10;12;910.632874160498
2017-10-17;"8";12;14;910.632874160498
2017-10-17;"8";14;16;997.42614017027
2017-10-17;"8";16;18;74.5833333333333
2017-10-17;"8";18;20;852.391856976163
2017-10-17;"8";20;22;888.148024670779
2017-10-17;"8";22;24;746.913513363338
2017-10-17;"8";0;2;394.166666666667
2017-10-18;"8";2;4;502.876701456407
2017-10-18;"8";4;6;514.306123258859
2017-10-18;"8";6;8;514.306123258859
2017-10-18;"8";8;10;514.306123258859
2017-10-18;"8";10;12;514.306123258859
2017-10-18;"8";12;14;514.306123258859
2017-10-18;"8";14;16;514.306123258859
2017-10-18;"8";16;18;514.306123258859
2017-10-18;"8";18;20;514.306123258859
2017-10-18;"8";20;22;514.306123258859
2017-10-18;"8";22;24;340.456624068818
2017-10-18;"8";0;2;134.998125026041
2017-10-19;"8";2;4;134.998125026041
2017-10-19;"8";4;6;134.998125026041
2017-10-19;"8";6;8;134.998125026041
2017-10-19;"8";8;10;134.998125026041
2017-10-19;"8";10;12;134.998125026041
2017-10-19;"8";12;14;134.998125026041
2017-10-19;"8";14;16;134.998125026041
2017-10-19;"8";16;18;134.998125026041
2017-10-19;"8";18;20;290.06842883355
2017-10-19;"8";20;22;473.333333333333
2017-10-19;"8";22;24;92.563649047425
2017-10-19;"8";0;2;76.0084453828203
2017-10-20;"8";2;4;96.1712412490277
2017-10-20;"8";4;6;138.333333333333
2017-10-20;"8";6;8;130.694380896355
2017-10-20;"8";8;10;129.420223544022
2017-10-20;"8";10;12;129.420223544022
2017-10-20;"8";12;14;129.420223544022
2017-10-20;"8";14;16;129.420223544022
2017-10-20;"8";16;18;129.420223544022
2017-10-20;"8";18;20;129.420223544022
2017-10-20;"8";20;22;129.420223544022
2017-10-20;"8";22;24;181.024119223479
2017-10-20;"8";0;2;223.333333333333
2017-10-21;"8";2;4;130.666666666667
2017-10-21;"8";4;6;129.333333333333
2017-10-21;"8";6;8;252.711135816194
2017-10-21;"8";8;10;1415.33333333333
2017-10-21;"8";10;12;163.669687604894
2017-10-21;"8";12;14;90.0031251085107
2017-10-21;"8";14;16;90.0031251085107
2017-10-21;"8";16;18;90.0031251085107
2017-10-21;"8";18;20;20.1852893554689
2017-10-21;"8";20;22;17.7777777777778
2017-10-21;"8";22;24;17.7777777777778
2017-10-21;"8";0;2;17.7777777777778
2017-10-22;"8";2;4;74.8148148148148
2017-10-22;"8";4;6;120.666666666667
2017-10-22;"8";6;8;758
2017-10-22;"8";8;10;780
2017-10-22;"8";10;12;1274.66666666667
2017-10-22;"8";12;14;1324
2017-10-22;"8";14;16;573.430582569232
2017-10-22;"8";16;18;489.333333333333
2017-10-22;"8";18;20;672.18264332685
2017-10-22;"8";20;22;680.188941372603
2017-10-22;"8";22;24;724.425730345598
2017-10-22;"8";0;2;774.982060600449
2017-10-23;"8";2;4;774.982060600449
2017-10-23;"8";4;6;774.982060600449
2017-10-23;"8";6;8;774.982060600449
2017-10-23;"8";8;10;774.982060600449
2017-10-23;"8";10;12;1803.99043232024
2017-10-23;"8";12;14;2110
2017-10-23;"8";14;16;1511.77246618492
2017-10-23;"8";16;18;473.333333333333
2017-10-23;"8";18;20;962
2017-10-23;"8";20;22;980
2017-10-23;"8";22;24;746.666666666667
2017-10-23;"8";0;2;299.333333333333
2017-10-24;"8";2;4;122.650004628344
2017-10-24;"8";4;6;129.333333333333
2017-10-24;"8";6;8;768.122358175751
2017-10-24;"8";8;10;1910.66666666667
2017-10-24;"8";10;12;527.900975660567
2017-10-24;"8";12;14;467.483767924725
2017-10-24;"8";14;16;467.483767924725
2017-10-24;"8";16;18;467.483767924725
2017-10-24;"8";18;20;45.4630892488537
2017-10-24;"8";20;22;30.910652053134
2017-10-24;"8";22;24;30.910652053134
2017-10-24;"8";0;2;30.910652053134
2017-10-25;"8";2;4;30.910652053134
2017-10-25;"8";4;6;30.910652053134
2017-10-25;"8";6;8;30.910652053134
2017-10-25;"8";8;10;30.910652053134
2017-10-25;"8";10;12;30.910652053134
