"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"2";0;2;728.785357737105
2017-09-29;"2";2;4;6531.35607321131
2017-09-29;"2";4;6;5750
2017-09-29;"2";6;8;6407.5
2017-09-29;"2";8;10;9274.69298245614
2017-09-29;"2";10;12;17866.5789473684
2017-09-29;"2";12;14;19648.2445923461
2017-09-29;"2";14;16;24229.7337770383
2017-09-29;"2";16;18;27456.6296809986
2017-09-29;"2";18;20;35617.3890429958
2017-09-29;"2";20;22;43875.9855233853
2017-09-29;"2";22;24;27675.4565701559
2017-09-29;"2";0;2;10336.7360879707
2017-09-30;"2";2;4;6333.88870376541
2017-09-30;"2";4;6;6333.88870376541
2017-09-30;"2";6;8;6355.20826391203
2017-09-30;"2";8;10;9323.21458391316
2017-09-30;"2";10;12;17337.1437517395
2017-09-30;"2";12;14;31429.9472807991
2017-09-30;"2";14;16;38157.3418423973
2017-09-30;"2";16;18;41953.2801664355
2017-09-30;"2";18;20;40037.3404993065
2017-09-30;"2";20;22;37843.7249443207
2017-09-30;"2";22;24;25028.6748329621
2017-09-30;"2";0;2;12188.7239944521
2017-10-01;"2";2;4;7431.17198335645
2017-10-01;"2";4;6;5916.44244105409
2017-10-01;"2";6;8;5332.09015256588
2017-10-01;"2";8;10;4049.01671309192
2017-10-01;"2";10;12;5920.41086350975
2017-10-01;"2";12;14;8603.81973355537
2017-10-01;"2";14;16;14608.9592006661
2017-10-01;"2";16;18;29440.8985024958
2017-10-01;"2";18;20;17712.6955074875
2017-10-01;"2";20;22;11852.5313283208
2017-10-01;"2";22;24;12627.5939849624
2017-10-01;"2";0;2;6861.56726768377
2017-10-02;"2";2;4;5429.70180305132
2017-10-02;"2";4;6;4804.70016657413
2017-10-02;"2";6;8;5151.60049972238
2017-10-02;"2";8;10;8227.77568922306
2017-10-02;"2";10;12;21630.8270676692
2017-10-02;"2";12;14;23672.1291932354
2017-10-02;"2";14;16;25791.3875797061
2017-10-02;"2";16;18;24286.9644839068
2017-10-02;"2";18;20;19773.3934517203
2017-10-02;"2";20;22;16271.7958530476
2017-10-02;"2";22;24;13855.3875591428
2017-10-02;"2";0;2;6761.53440621532
2017-10-03;"2";2;4;6399.60321864595
2017-10-03;"2";4;6;5437.24729241877
2017-10-03;"2";6;8;6996.74187725632
2017-10-03;"2";8;10;9465.11692650334
2017-10-03;"2";10;12;15800.35077951
2017-10-03;"2";12;14;15871.5599001664
2017-10-03;"2";14;16;18529.6797004992
2017-10-03;"2";16;18;20807.2169811321
2017-10-03;"2";18;20;19641.6509433962
2017-10-03;"2";20;22;15793.7583518931
2017-10-03;"2";22;24;12216.2750556793
2017-10-03;"2";0;2;4643.82104241752
2017-10-04;"2";2;4;5833.96312725256
2017-10-04;"2";4;6;4910
2017-10-04;"2";6;8;5477.5
2017-10-04;"2";8;10;8314.59273182957
2017-10-04;"2";10;12;14431.2781954887
2017-10-04;"2";12;14;17374.4660194175
2017-10-04;"2";14;16;19540.8980582524
2017-10-04;"2";16;18;18899.4486823856
2017-10-04;"2";18;20;24233.3460471567
2017-10-04;"2";20;22;26576.4223057644
2017-10-04;"2";22;24;15529.2669172932
2017-10-04;"2";0;2;5743.90897755611
2017-10-05;"2";2;4;4404.22693266833
2017-10-05;"2";4;6;5345.19014693172
2017-10-05;"2";6;8;12321.5211754538
2017-10-05;"2";8;10;12321.5211754538
2017-10-05;"2";10;12;12321.5211754538
2017-10-05;"2";12;14;12321.5211754538
2017-10-05;"2";14;16;18413.0704407952
2017-10-05;"2";16;18;18067.1448390677
2017-10-05;"2";18;20;20706.4345172031
2017-10-05;"2";20;22;16467.9272195937
2017-10-05;"2";22;24;10751.281658781
2017-10-05;"2";0;2;4582.08102108768
2017-10-06;"2";2;4;3091.24306326304
2017-10-06;"2";4;6;2402.3098278734
2017-10-06;"2";6;8;3461.92948362021
2017-10-06;"2";8;10;6291.94013303769
2017-10-06;"2";10;12;12702.2830746489
2017-10-06;"2";12;14;17928.1111111111
2017-10-06;"2";14;16;23468.2142857143
2017-10-06;"2";16;18;21391.1368684064
2017-10-06;"2";18;20;20085.9106052193
2017-10-06;"2";20;22;22163.331015299
2017-10-06;"2";22;24;16234.9930458971
2017-10-06;"2";0;2;7831.97335553705
2017-10-07;"2";2;4;5188.42006661116
2017-10-07;"2";4;6;3404.9146070536
2017-10-07;"2";6;8;2822.24382116079
2017-10-07;"2";8;10;10098.7707641196
2017-10-07;"2";10;12;24173.8970099668
2017-10-07;"2";12;14;35773.8934746235
2017-10-07;"2";14;16;48201.0861684328
2017-10-07;"2";16;18;46572.9579517069
2017-10-07;"2";18;20;38996.3738551207
2017-10-07;"2";20;22;35857.9780128027
2017-10-07;"2";22;24;26558.934038408
2017-10-07;"2";0;2;13211.1980033278
2017-10-08;"2";2;4;6733.59400998336
2017-10-08;"2";4;6;5901.84013322231
2017-10-08;"2";6;8;6332.30974188177
2017-10-08;"2";8;10;6237.88470066519
2017-10-08;"2";10;12;6908.90687361419
2017-10-08;"2";12;14;9461.61722888207
2017-10-08;"2";14;16;13037.3410928352
2017-10-08;"2";16;18;13041.4175686928
2017-10-08;"2";18;20;9476.75270607827
2017-10-08;"2";20;22;9164.27378964942
2017-10-08;"2";22;24;8775.32136894825
2017-10-08;"2";0;2;4231.69301164725
2017-10-09;"2";2;4;4310.07903494176
2017-10-09;"2";4;6;3429.25108297234
2017-10-09;"2";6;8;5974.00866377874
2017-10-09;"2";8;10;5974.00866377874
2017-10-09;"2";10;12;13400.3699877819
2017-10-09;"2";12;14;24869.3157894737
2017-10-09;"2";14;16;34453.515037594
2017-10-09;"2";16;18;35656.5144164125
2017-10-09;"2";18;20;34850.9775436651
2017-10-09;"2";20;22;22987.1461988304
2017-10-09;"2";22;24;14457.969924812
2017-10-09;"2";0;2;5506.78868552413
2017-10-10;"2";2;4;3922.81863560732
2017-10-10;"2";4;6;3600.18494862538
2017-10-10;"2";6;8;4580.17911691197
2017-10-10;"2";8;10;6920.17470881864
2017-10-10;"2";10;12;13958.2407099279
2017-10-10;"2";12;14;17758.4562087861
2017-10-10;"2";14;16;20455.3949568125
2017-10-10;"2";16;18;26036.2520798669
2017-10-10;"2";18;20;26208.8397115918
2017-10-10;"2";20;22;16487.7396790055
2017-10-10;"2";22;24;13082.3775396605
2017-10-10;"2";0;2;7108.58153078203
2017-10-11;"2";2;4;6557.65002773156
2017-10-11;"2";4;6;5384.67092356099
2017-10-11;"2";6;8;5419.5854155099
2017-10-11;"2";8;10;9773.98076211617
2017-10-11;"2";10;12;16146.1272660007
2017-10-11;"2";12;14;19195.8003157797
2017-10-11;"2";14;16;30095.0724435776
2017-10-11;"2";16;18;22606.4147018031
2017-10-11;"2";18;20;26386.0050855294
2017-10-11;"2";20;22;28828.9325551232
2017-10-11;"2";22;24;30117.2832128961
2017-10-11;"2";0;2;20321.9862538184
2017-10-12;"2";2;4;15281.0911783764
2017-10-12;"2";4;6;12684.5989077108
2017-10-12;"2";6;8;9383.01545866889
2017-10-12;"2";8;10;4397.83915696062
2017-10-12;"2";10;12;7110.51913477537
2017-10-12;"2";12;14;16102.6796657382
2017-10-12;"2";14;16;23092.5417827298
2017-10-12;"2";16;18;24374.1870144284
2017-10-12;"2";18;20;20876.8401775805
2017-10-12;"2";20;22;14338.5669357083
2017-10-12;"2";22;24;12386.8222933482
2017-10-12;"2";0;2;8511.21048252912
2017-10-13;"2";2;4;6404.71214642263
2017-10-13;"2";4;6;6207.61132704053
2017-10-13;"2";6;8;6883.38959837128
2017-10-13;"2";8;10;9126.23183582917
2017-10-13;"2";10;12;21492.5712701054
2017-10-13;"2";12;14;35833.0645490852
2017-10-13;"2";14;16;39838.7789077737
2017-10-13;"2";16;18;42262.9130856668
2017-10-13;"2";18;20;39927.6001293781
2017-10-13;"2";20;22;34676.1415931025
2017-10-13;"2";22;24;19661.2136551639
2017-10-13;"2";0;2;19661.2136551639
2017-10-14;"2";2;4;19661.2136551639
2017-10-14;"2";4;6;19661.2136551639
2017-10-14;"2";6;8;14560.4652344795
2017-10-14;"2";8;10;8014.5857605178
2017-10-14;"2";10;12;23069.4008321775
2017-10-14;"2";12;14;41648.9899665552
2017-10-14;"2";14;16;51656.3963210702
2017-10-14;"2";16;18;51984.2470881864
2017-10-14;"2";18;20;49981.0244037715
2017-10-14;"2";20;22;41436.9758924432
2017-10-14;"2";22;24;26654.5653685675
2017-10-14;"2";0;2;11129.1037735849
2017-10-15;"2";2;4;6445.25157232704
2017-10-15;"2";4;6;5549.3272256154
2017-10-15;"2";6;8;5531.88469368869
2017-10-15;"2";8;10;5307.59624803623
2017-10-15;"2";10;12;6371.05433878569
2017-10-15;"2";12;14;9004.51893095768
2017-10-15;"2";14;16;14765.4669636229
2017-10-15;"2";16;18;15502.4601720788
2017-10-15;"2";18;20;11750.7024701638
2017-10-15;"2";20;22;12221.9322191272
2017-10-15;"2";22;24;11277.639275766
2017-10-15;"2";0;2;6853.48169717138
2017-10-16;"2";2;4;6661.34387132557
2017-10-16;"2";4;6;5441.81403313894
2017-10-16;"2";6;8;5978.05563269462
2017-10-16;"2";8;10;8444.66001478197
2017-10-16;"2";10;12;15209.5971914265
2017-10-16;"2";12;14;17528.0272676683
2017-10-16;"2";14;16;26042.7562604341
2017-10-16;"2";16;18;21072.4071606994
2017-10-16;"2";18;20;23585.9092422981
2017-10-16;"2";20;22;20144.7525773196
2017-10-16;"2";22;24;14577.0618556701
2017-10-16;"2";0;2;7056.14808652246
2017-10-17;"2";2;4;6927.85413200222
2017-10-17;"2";4;6;6001.82440062945
2017-10-17;"2";6;8;5686.0896973063
2017-10-17;"2";8;10;9234.22795341098
2017-10-17;"2";10;12;14381.5585135885
2017-10-17;"2";12;14;20938.3040772732
2017-10-17;"2";14;16;20697.4059626637
2017-10-17;"2";16;18;20086.5371809101
2017-10-17;"2";18;20;21584.3806881243
2017-10-17;"2";20;22;20170.3574408901
2017-10-17;"2";22;24;22050.4346314325
2017-10-17;"2";0;2;13937.9091539528
2017-10-18;"2";2;4;9610.92140545539
2017-10-18;"2";4;6;4099.52670554476
2017-10-18;"2";6;8;4105.20679440896
2017-10-18;"2";8;10;7651.86369097126
2017-10-18;"2";10;12;14300.7902227151
2017-10-18;"2";12;14;15126.469342252
2017-10-18;"2";14;16;20328.2943143813
2017-10-18;"2";16;18;24003.6893203884
2017-10-18;"2";18;20;22502.9805825243
2017-10-18;"2";20;22;27530.9337748344
2017-10-18;"2";22;24;18549.8300220751
2017-10-18;"2";0;2;10354.3266210528
2017-10-19;"2";2;4;4874.2281804528
2017-10-19;"2";4;6;4874.2281804528
2017-10-19;"2";6;8;5408.45413584024
2017-10-19;"2";8;10;6943.99778209038
2017-10-19;"2";10;12;13373.1355697255
2017-10-19;"2";12;14;15553.0526902704
2017-10-19;"2";14;16;18345.1693615835
2017-10-19;"2";16;18;16579.4051580699
2017-10-19;"2";18;20;15643.175818081
2017-10-19;"2";20;22;16973.9411819278
2017-10-19;"2";22;24;11214.4537990537
2017-10-19;"2";0;2;3606.884359401
2017-10-20;"2";2;4;3437.1120354964
2017-10-20;"2";4;6;2611.24844950477
2017-10-20;"2";6;8;4286.05442932519
2017-10-20;"2";8;10;7742.77537437604
2017-10-20;"2";10;12;13611.0238491403
2017-10-20;"2";12;14;17000.7023014105
2017-10-20;"2";14;16;20950.5456570156
2017-10-20;"2";16;18;20950.0805108273
2017-10-20;"2";18;20;21836.5502498612
2017-10-20;"2";20;22;27751.6414253898
2017-10-20;"2";22;24;30048.8474387528
2017-10-20;"2";0;2;16546.1252771619
2017-10-21;"2";2;4;12292.7841832964
2017-10-21;"2";4;6;3601.84374132667
2017-10-21;"2";6;8;4463.05800721621
2017-10-21;"2";8;10;7474.71197411003
2017-10-21;"2";10;12;15888.5774387425
2017-10-21;"2";12;14;26033.3255295429
2017-10-21;"2";14;16;41259.974916388
2017-10-21;"2";16;18;43542.7993348115
2017-10-21;"2";18;20;43158.9179600887
2017-10-21;"2";20;22;34441.0409356725
2017-10-21;"2";22;24;24077.9887218045
2017-10-21;"2";0;2;11278.3649847519
2017-10-22;"2";2;4;6833.98595323907
2017-10-22;"2";4;6;4777.81856891604
2017-10-22;"2";6;8;4268.07053596223
2017-10-22;"2";8;10;3216.7853577371
2017-10-22;"2";10;12;4941.43760399334
2017-10-22;"2";12;14;9608.79342068581
2017-10-22;"2";14;16;12270.7645664901
2017-10-22;"2";16;18;15227.4916805324
2017-10-22;"2";18;20;10261.3078202995
2017-10-22;"2";20;22;10371.0194986072
2017-10-22;"2";22;24;12252.5626740947
2017-10-22;"2";0;2;5133.33979507062
2017-10-23;"2";2;4;4578.57537154989
2017-10-23;"2";4;6;4115.66666666667
2017-10-23;"2";6;8;4278.33333333333
2017-10-23;"2";8;10;7158.96078431373
2017-10-23;"2";10;12;11909.4901960784
2017-10-23;"2";12;14;14830.1513633834
2017-10-23;"2";14;16;16938.3544796884
2017-10-23;"2";16;18;18090.1201776298
2017-10-23;"2";18;20;16065.252012212
2017-10-23;"2";20;22;13658.5906432749
2017-10-23;"2";22;24;11309.0413533835
2017-10-23;"2";0;2;6558.64808652246
2017-10-24;"2";2;4;6616.52079866889
2017-10-24;"2";4;6;6734.43793390725
2017-10-24;"2";6;8;7525.5817828381
2017-10-24;"2";8;10;9035.62396006656
2017-10-24;"2";10;12;13689.8596783139
2017-10-24;"2";12;14;14624.3834865794
2017-10-24;"2";14;16;17450.8790749512
2017-10-24;"2";16;18;19691.9902912621
2017-10-24;"2";18;20;23413.6823855756
2017-10-24;"2";20;22;20917.4714723073
2017-10-24;"2";22;24;12399.0154467019
2017-10-24;"2";0;2;5606.87586685159
2017-10-25;"2";2;4;3717.08599167822
2017-10-25;"2";4;6;2479.35970024979
2017-10-25;"2";6;8;3009.32472939217
2017-10-25;"2";8;10;4897.65557404326
2017-10-25;"2";10;12;11803.3921242374
2017-10-25;"2";12;14;15010.0624303233
2017-10-25;"2";14;16;18322.8717948718
2017-10-25;"2";16;18;21559.182473655
2017-10-25;"2";18;20;20280.9328896284
2017-10-25;"2";20;22;16195.7475872309
2017-10-25;"2";22;24;10403.4743875278
2017-10-25;"2";0;2;3301.78868552413
