"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-29;"5";2;4;411
2017-09-29;"5";4;6;2764.24180100056
2017-09-29;"5";6;8;3912.56420233463
2017-09-29;"5";8;10;5354.7883921133
2017-09-29;"5";10;12;4885.50624826437
2017-09-29;"5";12;14;4555.36853807671
2017-09-29;"5";14;16;4579.85992217899
2017-09-29;"5";16;18;4986
2017-09-29;"5";18;20;4652
2017-09-29;"5";20;22;4414.17338149486
2017-09-29;"5";22;24;3837.40455682134
2017-09-29;"5";0;2;3177.13003612114
2017-09-30;"5";2;4;2899.303417616
2017-09-30;"5";4;6;2736.88503193557
2017-09-30;"5";6;8;3039.731741183
2017-09-30;"5";8;10;4281
2017-09-30;"5";10;12;4836
2017-09-30;"5";12;14;4267.36020011117
2017-09-30;"5";14;16;4091.84046692607
2017-09-30;"5";16;18;3645.86253818384
2017-09-30;"5";18;20;3964.67925576229
2017-09-30;"5";20;22;3779.14420672409
2017-09-30;"5";22;24;3532.33648235621
2017-09-30;"5";0;2;2954.24180100056
2017-10-01;"5";2;4;2839.56420233463
2017-10-01;"5";4;6;2863
2017-10-01;"5";6;8;2942
2017-10-01;"5";8;10;3891
2017-10-01;"5";10;12;4657
2017-10-01;"5";12;14;4435.17004723534
2017-10-01;"5";14;16;4021.39677688247
2017-10-01;"5";16;18;3844.38068812431
2017-10-01;"5";18;20;3659.55493895671
2017-10-01;"5";20;22;4180.31762613914
2017-10-01;"5";22;24;3528.78417426095
2017-10-01;"5";0;2;3528.78417426095
2017-10-02;"5";2;4;3049.07446099133
2017-10-02;"5";4;6;2861.25847693163
2017-10-02;"5";6;8;4093.60311284047
2017-10-02;"5";8;10;4954.61521377013
2017-10-02;"5";10;12;5099.10216546363
2017-10-02;"5";12;14;5395.76416981551
2017-10-02;"5";14;16;4925.09446543676
2017-10-02;"5";16;18;4925.09446543676
2017-10-02;"5";18;20;4878.78306290287
2017-10-02;"5";20;22;4502.82838100528
2017-10-02;"5";22;24;4148.59955567898
2017-10-02;"5";0;2;3166.75347029428
2017-10-03;"5";2;4;2950.42476401999
