"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"3";0;2;183.333333333333
2017-09-29;"3";2;4;1797.5
2017-09-29;"3";4;6;4353.41478696742
2017-09-29;"3";6;8;13997.5
2017-09-29;"3";8;10;558.933592304846
2017-09-29;"3";10;12;5075.83333333333
2017-09-29;"3";12;14;13917.9317548747
2017-09-29;"3";14;16;499.166666666667
2017-09-29;"3";16;18;11148.9141694414
2017-09-29;"3";18;20;1040.83333333333
2017-09-29;"3";20;22;9896.02046945754
2017-09-29;"3";22;24;10634.1666666667
2017-09-29;"3";0;2;1755.92561754094
2017-09-30;"3";2;4;12516.6666666667
2017-09-30;"3";4;6;147461.731962582
2017-09-30;"3";6;8;153010.502917477
2017-09-30;"3";8;10;-78003.4775863666
2017-09-30;"3";10;12;258625.833333333
2017-09-30;"3";12;14;22330.3998434462
2017-09-30;"3";14;16;11188.2433149004
2017-09-30;"3";16;18;11188.2433149004
2017-09-30;"3";18;20;11188.2433149004
2017-09-30;"3";20;22;11188.2433149004
2017-09-30;"3";22;24;6096.96512890438
2017-09-30;"3";0;2;234.144469108398
2017-10-01;"3";2;4;5538.33333333333
2017-10-01;"3";4;6;8914.79213066073
2017-10-01;"3";6;8;9575
2017-10-01;"3";8;10;15941.6666666667
2017-10-01;"3";10;12;419.026742876537
2017-10-01;"3";12;14;3.33225343638636
2017-10-01;"3";14;16;3.33225343638636
2017-10-01;"3";16;18;2.876939131278
2017-10-01;"3";18;20;2.85714285714286
2017-10-01;"3";20;22;2.85714285714286
2017-10-01;"3";22;24;125.28043393444
2017-10-01;"3";0;2;2905.39635698746
2017-10-02;"3";2;4;7109.16666666667
2017-10-02;"3";4;6;6188.80952380952
2017-10-02;"3";6;8;32721.6666666667
2017-10-02;"3";8;10;4622.35756566778
2017-10-02;"3";10;12;2278.33333333333
2017-10-02;"3";12;14;3428.93102328602
2017-10-02;"3";14;16;4095
2017-10-02;"3";16;18;6437.58139104699
2017-10-02;"3";18;20;2951.66666666667
2017-10-02;"3";20;22;960.156307806141
2017-10-02;"3";22;24;4505.83333333333
2017-10-02;"3";0;2;1048.11135775065
2017-10-03;"3";2;4;3999.16666666667
2017-10-03;"3";4;6;396.083959899749
2017-10-03;"3";6;8;269.166666666667
2017-10-03;"3";8;10;9.72281384078773
2017-10-03;"3";10;12;6.6672840077785
